"id","followers","genres","name","popularity"
"5tTsrGPwQRWUsHR2Xf7Ke9",421648,"['adult standards', 'lounge', 'mellow gold', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']","Natalie Cole",68
"7qBIgabdHdcr6NLujDxWAU",53967,"['chinese indie', 'mandopop', 'taiwan indie', 'taiwan pop', 'taiwan punk']","Fire EX.",49
"73ieysHN7XpJYEnEAYsO3K",110940,"['israeli rock']","Aviv Geffen",47
"2cvtzIo0OSIAkyr7LisIT6",20682,"['c-pop', 'cantopop', 'chinese indie', 'classic cantopop', 'hong kong indie', 'hong kong rock']","Tat Ming Pair",38
"5CHXXNuReinAFGk3pjWgOH",3360,"['orchestra']","Melbourne Symphony Orchestra",41
"1Fmb52lZ6Jv7FMWXXTPO3K",485126,"['glam punk', 'rock']","Joan Jett & The Blackhearts",68
"4oa7ETNZH1ivfzFkCGVZlR",1302903,"['sertanejo', 'sertanejo pop', 'sertanejo tradicional', 'sertanejo universitario']","Milionário & José Rico",66
"694QW15WkebjcrWgQHzRYF",663892,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'pop rock', 'post-grunge', 'rock']","Everclear",62
"4boqqqresLQ9SyYtKTIMhk",41,"[]","Satya Hinduja",30
"4fEkbug6kZzzJ8eYX6Kbbp",2700364,"['desi pop', 'filmi', 'modern bollywood', 'sufi']","KK",71
"5s2RlLSGQMDvvQcv3dYtAB",17931,"['classic canadian rock']","Sass Jordan",34
"50co4Is1HCEo8bhOyUWKpn",6110874,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']","Young Thug",91
"2ELqikmdyur5xfZtLSSUqy",54,"[]","Gyula Vikidál",33
"1SN71xW3yOVbPgsGFBMXTZ",10233,"['hungarian rock', 'magyar alternative']","Csaknekedkislány",41
"3oB3e3MPyQBX5NttDmNUNN",5882,"['classic swedish pop', 'swedish post-punk']","Lustans Lakejer",31
"2Tg0aF5cbZktYFzgR1iAKv",119799,"['norwegian pop', 'swedish pop', 'tropical house']","Julie Bergan",67
"0jHswhRyYZKR00dr9c48L9",14391,"['romanian rock']","COMPACT",29
"2d7AMvzFwh5wUTuqQl3BAE",116001,"['danish hip hop', 'danish pop']","KESI",64
"0fR58VVRkolDC1orOkycRU",886,"['icelandic rock']","Purrkur Pillnikk",11
"7gyFPwPjI8N3wIyTghT7xw",43524,"['cantautor', 'spanish new wave', 'spanish pop']","Manolo Tena",46
"3xmUdkZUQbtMM62XP4nnb6",21175,"['american folk revival', 'country rock', 'folk', 'folk rock', 'psychedelic rock', 'singer-songwriter']","Fred Neil",42
"1x8KhhTUgqB1gBC0NVJVXt",2157,"['plena uruguaya']","Super Grupo Antillano",13
"3vlUveVfzPXzhiPGjHHxOH",210566,"['bossa nova', 'mpb', 'musica paraibana', 'samba']","Chico César",61
"2DO4p3CPDnInsJfg0jFfaF",14944,"['british orchestra', 'chamber orchestra']","English Chamber Orchestra",67
"6yEEsr3AiZ2BZqtyyOmPM6",6806,"[]","Les Paul & Mary Ford",25
"0vQqxnQk1G32RtjSAFq3z1",16871,"['adult standards', 'lounge', 'torch song', 'vocal jazz']","Keely Smith",51
"4UGA0TDpRVVt2SCz8FZOMm",242926,"['latin christian', 'latin worship']","Un Corazón",63
"0qS0rxCY4YfrUx9GCTlDIW",267874,"['classic kollywood', 'filmi']","Malaysia Vasudevan",47
"6AmG7SNdlV9boPZ7dFVnLY",16379,"['classic soundtrack']","Charlie Chaplin",40
"4eC5xJOgbYjEVsNQuCuzGO",14269,"['german hip hop', 'german underground rap']","Telly Tellz",38
"0U2M5hyVn2T78XKlRHJFcn",32963,"['pop house']","Laurent Wolf",48
"1WxunfiOh9Ws0uu2JoDmjL",7099,"['bossa nova', 'samba-jazz']","Quarteto Jobim-Morelenbaum",44
"3xZnxcyeC0vVaJvEA9VqrA",1717803,"['desi pop', 'punjabi pop']","Jassie Gill",61
"6oEVIZBhycDkX6Djo1z5ID",850,"['israeli folk']","Effi Netzer Band",20
"77ziqFxp5gaInVrF2lj4ht",7865082,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']","Sech",89
"0WgiEOrXlaXJGHKhkd9s4s",88324,"['comic', 'modern ska punk', 'punk', 'ska', 'ska punk']","The Aquabats!",48
"3gm9b6AeMf2eGQTLashkDt",74908,"['polish hip hop', 'polish trap']","Deemz",65
"4365eKIGI1oOg1I9jGCKtd",259,"[]","Dolly Dawn",6
"0DxPHf2flBAcV2SnZPg3SV",97289,"['alt z', 'indie cafe pop', 'indiecoustica', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']","Jake Scott",67
"6cP65fCRmCJQejKYSnVb47",31893,"['mandopop', 'taiwan pop', 'taiwan singer-songwriter']","Vivian Hsu",48
"0G8JL8AMaRc50OwZz7YsFE",4893,"['classic israeli pop']","Esther Ofarim",26
"0tO9ebcW0t89aXgrA5xID2",8418,"['muzica populara', 'romanian folk', 'romanian rock']","Maria Tănase",27
"0C365us6C4k6iFqugRYWe6",1667,"[]","Bruit De La Mer",41
"6HzVTgf7SWVWNo93bT5TEv",32518,"['electro dub']","The Architect",48
"7amcWVAeY8e6YwgV9bXlKH",4040,"['swedish hip hop']","Thomas Rusiak",37
"61VpPyyJn2bitby8tbafzT",8887,"['doo-wop']","Thurston Harris",49
"5oxTKyMgf6POnzlqM1mduA",36374,"['canadian indie', 'classic canadian rock']","Platinum Blonde",39
"41h0P2FVHr6YTMfhjkrnhA",26390,"['euskal musica', 'spanish punk']","Doctor Deseo",43
"2nwNBRZ0DZlRAQBBO0Pdym",6822,"['classic soundtrack', 'german soundtrack']","Klaus Doldinger",38
"1zL2X6GRAdvhyR7ifb858b",1049,"['chinderlieder']","Dieter Wiesmann",25
"3L1jDbMK9J4Rd6XVv0KDjS",31314,"['danish hip hop', 'danish pop']","ATYPISK",54
"3QmmtMrEf7aQrsd1VtejAV",596131,"['latin', 'latin alternative', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'pop', 'rock en espanol']","Mœnia",67
"35j3Bv3gRKUHbiFSxVjjIf",3458,"['norwegian indie', 'norwegian pop', 'norwegian pop rap']","Stig Brenner",56
"0DUa4hZttQpauVpcmlW9Ym",659,"[]","Sheiks",8
"3RPu1pwXXrPqamAp6OHZ8b",4301,"['nordic orchestra', 'orchestra']","Iceland Symphony Orchestra",31
"5ncBRFyyylFng7kQJaRXN0",25006,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz piano', 'soul jazz', 'stride']","Wynton Kelly",47
"5fkHPXDNaqz3GrYYhO8APB",54377,"['j-rock', 'shibuya-kei']","Flipper's Guitar",38
"1CGalS6k2rfElJIQ9PVLxL",3343,"['classic hungarian pop', 'magyar mulatos']","Sógorok",27
"1hxJUOxvX3SXaVYz4qaFyM",100394,"['polish rock']","Wilki",52
"6ILM0YiRVmD5dPq8KPKbrl",4780,"['hungarian metal', 'hungarian rock', 'magyar alternative']","Moby Dick",26
"3cbd5GWGOknxmFAe77MDbk",396036,"['j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock', 'japanese emo', 'japanese pop punk', 'japanese punk rock']","ELLEGARDEN",52
"5x2Ufw4gSPVw4TNcGCpFT1",3449,"['german romanticism', 'late romantic era', 'polish classical']","Moritz Moszkowski",30
"2TKP2qwjVvwFKOAtmG0sgV",44,"[]","Izler Solomon",12
"0TF2NxkJZPQoX1H53rEFM1",799300,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']","Gladys Knight & The Pips",64
"212CRvd7gujQnCCLbRhylL",1143,"[]","Nokwazi",43
"3MblUyzg5WUKZQhWGpyk5B",10690,"['polish alternative rap', 'polish hip hop']","Hades",47
"0ifCMWK5i03zLZL2N5hmWy",32192,"['classic peruvian pop', 'electronica peruana', 'peruvian rock']","Miki Gonzalez",39
"4For8IkbWrmDSFlaq1AZ3o",5482,"['huayno popular']","Los Geniales Pumita Andy",26
"6A2Cwaoe4zRqUda8qPyqOh",87,"[]","Orchestre du Théâtre National de l'Opéra Paris",41
"4gKuYBmauk2YYkD3l4lDhb",29819,"[]","MR. CREDO",36
"0u6b6Qa5VJEvr3SgzzeVOB",268501,"['chicago rap', 'gangster rap', 'southern hip hop', 'trap']","Do Or Die",52
"25b3yInH8F1O0e3GKdc19h",882,"[]","Probspot",17
"76nW12AUcUVEiC8fwFoAns",13205,"['europop', 'eurovision', 'swedish pop']","Mariette",37
"33AceqtngCtsV5Ol0JUrl2",768,"['classical soprano']","Eva Marton",18
"1oFXBKd50elc0ux4O13ci3",142,"[]","Nanette Fabray",7
"7rgKxnnBAsZ7Q04d6jICu6",78367,"['dutch pop', 'dutch rock', 'nederpop']","Kane",47
"6CtFamY3hwFPNG44KCsRnh",2,"['progressive breaks']","A-mase",10
"1sifHw6UmQgVdrNgyXZdqF",1440,"['bulgarian hip hop']","Владислав Керанов",21
"08CYPU3SAP9Z0qnnCVZQH7",49,"[]","Robert Coote",22
"295bwpCS32JKNHvrWNhrre",10,"[]","Tania Blixen",13
"0rssD81jXF0qfMH4n7CYAn",300,"['french orchestra']","Orchestre de chambre Jean-François Paillard",41
"5cXcR0GGNQaGae9lyQOh3W",24020,"['classic norwegian pop', 'danseband', 'norwegian pop']","Jahn Teigen",46
"2q1nEoU6XP2AoI0yI1aAXa",0,"[]","Betty Moran",0
"2HujlDCi1ggnUSdfgipUxE",151816,"['filmi', 'mollywood']","P. Jayachandran",50
"4DToQR3aKrHQSSRzSz8Nzt",588936,"['alternative rock', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern rock', 'new rave', 'rock', 'swedish garage rock', 'swedish hard rock', 'swedish indie rock']","The Hives",62
"70voqWnL1gpuxodufMgBt4",1359,"['modern bollywood']","Abhijit Vaghani",60
"2hfh82QgU5gKQhsLePNKq2",21,"[]","Supriti Ghosh",2
"07bWHkXcoBmRPvv1DxeQzv",1001,"['canto popular uruguayo', 'folklore uruguayo']","Manuel Capella",16
